,Geo_FIPS,Geo_TRACT,concentrated_disadvantage,commute_time,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,cars_per_home
434,06037191410,191410,0.2708441396143881,35.0,31822.0,4932,1162,1511,1858,401,0.19374430610385668
435,06037191420,191420,-0.35045544937766865,37.0,62073.0,3423,510,1403,1240,270,0.3469477382520861
436,06037191500,191500,0.48900200993129217,38.0,47500.0,5776,922,1856,2268,730,0.43282118339326575
437,06037191610,191610,1.0483622473514405,36.0,44781.0,4208,873,1242,1740,353,0.18592592592592594
438,06037191620,191620,1.7381737313015542,39.0,28229.0,2691,530,797,842,522,0.10316742081447963
439,06037191710,191710,0.9262606274101978,31.0,28464.0,2734,459,885,1098,292,0.12001832340815392
440,06037191720,191720,0.7568405450167044,36.0,27083.0,3459,858,975,1303,323,0.23412204234122042
441,06037191810,191810,0.5943858484186599,31.0,47344.0,3417,667,1102,1445,203,0.22065532973869764
442,06037191820,191820,-0.37457350577225856,37.0,64167.0,3095,363,1333,1170,229,0.2665121668597914
443,06037191901,191901,0.413922692764561,34.0,53173.0,2841,194,1451,952,244,0.04110868888196823
444,06037191902,191902,-1.04797413749302,29.0,90221.0,2671,429,867,1053,322,0.02741067058247675
445,06037192001,192001,0.26506860285578193,25.0,65250.0,2410,282,787,913,428,0.18094782192436573
446,06037192002,192002,0.2862515392040866,29.0,106271.0,2596,277,815,1137,367,0.28414442700156983
447,06037192300,192300,-0.1944015898589524,29.0,100938.0,2475,228,769,1114,364,0.11348464619492657
448,06037192410,192410,-0.37912111361458584,32.0,74118.0,3757,551,1166,1574,466,0.33098068350668647
449,06037192420,192420,-0.5954561968215821,33.0,59046.0,4101,662,1637,1519,283,0.2391135303265941
450,06037192510,192510,-0.091114705841822,28.0,48218.0,3873,840,939,1650,444,0.33467381590705986
451,06037192520,192520,-0.31912824278873736,34.0,43531.0,5298,1373,1507,2043,375,0.2691151919866444
452,06037192610,192610,0.5801860320157586,35.0,36116.0,4117,787,1472,1358,500,0.24616508400292184
453,06037192620,192620,-0.6351580259412587,34.0,36722.0,3747,870,1121,1514,242,0.2921646746347942
454,06037192700,192700,0.6008642825518643,32.0,47331.0,3717,564,1410,1340,403,0.5725725725725725
455,06037194101,194101,-0.614156945324649,26.0,83180.0,3343,433,994,1548,368,0.2572070385623362
456,06037194102,194102,-0.6869638632701559,33.0,126799.0,3365,442,678,1529,716,0.6378120021242698
457,06037194200,194200,-0.5828943862231903,31.0,137546.0,3489,644,551,1809,485,0.5978552278820375
458,06037194300,194300,-1.3465086279334513,31.0,191563.0,3303,566,454,1854,429,0.401305057096248
459,06037194401,194401,-0.18872436058666323,29.0,84167.0,2490,158,865,1137,330,0.14473089099954772
460,06037194402,194402,-0.6569678586260886,26.0,98333.0,3694,227,1322,1617,528,0.13343065693430656
