,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,ev_car_zip_count,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
32,AUI-10234,"3145 S Vermont Ave, Los Angeles, CA",34.0262389,-118.291681,90089,6037221900,2.297692875224299,25.0,0.16132723112128147,12319.0,70,3802,264,3082,235,221
33,AUI-10240,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,90020,6037211921,-0.5171093414614294,31.0,0.06976744186046513,33407.0,225,2519,484,788,1053,194
34,AUI-10239,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,91335,6037132502,1.040382780783061,30.0,0.66864490603363,59917.0,435,4085,933,1038,1599,515
35,AUI-10225,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,91367,6037137302,-0.9905119131580892,32.0,0.8640939597315436,134971.0,766,4406,794,455,2127,1030
36,AUI-10223,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.5335015,91335,6037132700,-0.7044693106375564,32.0,0.5041758241758242,68553.0,435,5048,1317,1065,2140,526
37,AUI-10203,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,91436,6037980024,-1.501105554626723,29.0,1.5315315315315314,124038.0,901,264,74,47,112,31
38,AUI-10202,"6013 W Cadillac Ave, Los Angeles, CA",34.037672,-118.37471399999998,90034,6037270300,-0.2463759603111226,26.0,0.4799123447772096,73375.0,712,2543,525,764,929,325
39,AUI-10253,"587 S Hobart Blvd, Los Angeles, CA",34.0638047,-118.3055059,90006,6037211802,-0.589325738104732,29.0,0.07488653555219364,40625.0,140,4463,806,1163,2032,462
40,AUI-10215,"609 W Alpine St, Los Angeles, CA",34.063369,-118.241175,90012,6037207103,1.1038277491155806,26.0,0.14941892639734367,27292.0,1016,2324,380,509,922,513
41,AUI-10219,"6438 N Fulton Ave, Los Angeles, CA",34.18744,-118.422412,91401,6037123520,0.228808348148288,32.0,0.4917444364680546,53098.0,532,2888,737,821,1055,275
42,AUI-10242,"1109 South La Brea Ave, Los Angeles, CA",34.054634,-118.343996,90019,6037216200,-0.27290515916284985,29.0,0.4138225255972696,95707.0,512,5494,691,1477,2767,559
43,AUI-10272,"7614 N Louise Ave, Los Angeles, CA",34.2088705,-118.5096412,91406,6037131100,-0.6718182125058576,37.0,1.1561144839549002,68553.0,469,3372,761,682,1394,535
44,AUI-10260,"9866 N De Soto Ave, Los Angeles, CA",34.249545,-118.5883922,91311,6037113303,-0.4087095810901445,29.0,0.9339320076972418,83971.0,556,4307,889,768,1826,824
45,AUI-10258,"11118 S Main St, Los Angeles, CA",33.93414600000001,-118.2737655,90061,6037241110,0.577653087530587,33.0,0.930662557781202,43182.0,35,3269,964,1097,967,241
46,AUI-10222,"3840 S Western Ave, Los Angeles, CA",34.016127000000004,-118.30875690000002,90062,6037231300,0.9672183390850408,36.0,0.5108502312344362,46767.0,52,5444,1011,1574,2375,484
47,AUI-10209,"11730 National Blvd, Los Angeles, CA",34.02189370000001,-118.4394675,90064,6037271500,-0.6801385183148879,27.0,0.3283365570599613,94330.0,876,3192,683,491,1293,725
48,AUI-10210,"11667 W Santa Monica Blvd, Los Angeles, CA",34.044141,-118.455429,90025,6037267501,-0.41848338864588797,23.0,0.15417428397318708,79531.0,836,6489,876,3225,1890,498
49,AUI-10213,"10478 W Wilshire Blvd, Los Angeles, CA",34.0647503,-118.4310256,90024-2613,6037265700,-0.13545418108149193,24.0,0.16342308717675286,80685.0,823,4866,744,855,1950,1317
50,AUI-10211,"8334 Lincoln Blvd, Los Angeles, CA",33.9618772,-118.4208079,90293,6037276500,-0.3139732620950295,16.0,0.7008032128514057,88500.0,268,5570,345,4136,817,272
51,AUI-10221,"12159 W Olympic Blvd, Los Angeles, CA",34.032711,-118.4550231,90064,6037267600,-0.2269326466996304,25.0,0.5138416707139388,76250.0,876,2929,413,767,1285,464
52,AUI-10217,"6646 W Sunset Blvd, Los Angeles, CA",34.0978525,-118.3348393,90028,6037190700,0.7202629706033878,29.0,0.007514088916718849,37300.0,221,2841,234,1092,1058,457
53,AUI-10208,"12237 W Santa Monica Blvd, Los Angeles, CA",34.04001179999999,-118.46559340000002,90025,6037267402,-0.18617374086861452,26.0,0.27626774847870184,74748.0,836,4941,362,2502,1651,426
54,AUI-10271,"11816 W Major St, Los Angeles, CA",33.984934,-118.4002577,90230,6037275603,-0.6579395693054257,30.0,0.6680208937899014,79313.0,516,2710,466,531,1226,487
55,AUI-10252,"11677 San Vicente Blvd, Los Angeles, CA",34.054247100000005,-118.4651397,90049,6037264103,0.5639856442316036,26.0,0.020579268292682928,100160.0,1600,2708,284,926,1087,411
56,AUI-10250,"8624 S Wilton Pl, Los Angeles, CA",33.9591244,-118.314752,90047,6037238400,0.9004643733281146,30.0,0.5211102423768569,51420.0,130,4801,1078,893,1748,1082
