OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
77,111100,2982,1170,1171,115,13,487,4,11,11,2266,801,979,85,12,372,3,7,7,942,913,29,Tract: 1111.00\nTotal Population: 2982,navigatela/reports/census_tracts_2010.cfm?PK=111100
78,111201,3410,995,1703,107,11,535,10,30,19,2679,690,1446,78,11,415,5,21,13,1130,1093,37,Tract: 1112.01\nTotal Population: 3410,navigatela/reports/census_tracts_2010.cfm?PK=111201
79,111202,5213,1421,2617,166,24,925,6,22,32,4056,956,2193,129,22,717,6,14,19,1938,1836,102,Tract: 1112.02\nTotal Population: 5213,navigatela/reports/census_tracts_2010.cfm?PK=111202
80,111204,5859,871,3443,242,12,1241,8,13,29,4594,592,2833,173,9,955,4,7,21,1955,1917,38,Tract: 1112.04\nTotal Population: 5859,navigatela/reports/census_tracts_2010.cfm?PK=111204
81,111205,3375,610,1397,166,3,1153,1,15,30,2722,440,1241,133,3,877,1,9,18,1298,1246,52,Tract: 1112.05\nTotal Population: 3375,navigatela/reports/census_tracts_2010.cfm?PK=111205
82,111206,4490,931,2556,151,12,791,3,31,15,3612,674,2165,100,10,632,2,21,8,1538,1497,41,Tract: 1112.06\nTotal Population: 4490,navigatela/reports/census_tracts_2010.cfm?PK=111206
83,111301,7087,2080,2663,425,19,1764,26,29,81,5579,1414,2313,343,13,1388,20,23,65,2778,2635,143,Tract: 1113.01\nTotal Population: 7087,navigatela/reports/census_tracts_2010.cfm?PK=111301
84,111302,4786,1023,2402,305,22,963,15,23,33,3955,786,2084,249,18,763,11,20,24,1915,1810,105,Tract: 1113.02\nTotal Population: 4786,navigatela/reports/census_tracts_2010.cfm?PK=111302
85,111400,7560,2427,3122,282,17,1611,19,32,50,5911,1684,2650,198,17,1290,16,22,34,2847,2752,95,Tract: 1114.00\nTotal Population: 7560,navigatela/reports/census_tracts_2010.cfm?PK=111400
86,113101,3558,731,2150,117,28,490,11,6,25,2898,511,1849,95,27,384,9,6,17,1140,1118,22,Tract: 1131.01\nTotal Population: 3558,navigatela/reports/census_tracts_2010.cfm?PK=113101
87,113102,2828,369,1888,98,1,434,4,13,21,2288,271,1576,64,1,353,4,7,12,967,943,24,Tract: 1131.02\nTotal Population: 2828,navigatela/reports/census_tracts_2010.cfm?PK=113102
88,113211,3787,466,2628,120,12,507,8,14,32,3156,319,2327,88,10,381,6,7,18,1613,1548,65,Tract: 1132.11\nTotal Population: 3787,navigatela/reports/census_tracts_2010.cfm?PK=113211
89,113212,3069,712,1569,162,10,574,18,3,21,2458,514,1325,117,7,463,12,2,18,1082,1045,37,Tract: 1132.12\nTotal Population: 3069,navigatela/reports/census_tracts_2010.cfm?PK=113212
90,113213,4316,1035,2040,214,18,951,15,10,33,3434,756,1730,150,15,747,10,8,18,1660,1594,66,Tract: 1132.13\nTotal Population: 4316,navigatela/reports/census_tracts_2010.cfm?PK=113213
91,113231,2113,239,1484,93,6,268,1,6,16,1645,160,1197,61,6,206,1,4,10,806,785,21,Tract: 1132.31\nTotal Population: 2113,navigatela/reports/census_tracts_2010.cfm?PK=113231
92,113232,3894,692,2380,175,12,600,7,8,20,3158,505,2029,126,10,462,6,6,14,1388,1342,46,Tract: 1132.32\nTotal Population: 3894,navigatela/reports/census_tracts_2010.cfm?PK=113232
93,113233,6655,3622,1608,499,16,849,5,25,31,4861,2377,1406,367,14,652,4,15,26,2448,2283,165,Tract: 1132.33\nTotal Population: 6655,navigatela/reports/census_tracts_2010.cfm?PK=113233
94,113234,4667,2565,1113,180,11,761,13,8,16,3466,1706,997,134,9,585,13,6,16,1585,1494,91,Tract: 1132.34\nTotal Population: 4667,navigatela/reports/census_tracts_2010.cfm?PK=113234
95,113235,10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,6,5,1,Tract: 1132.35\nTotal Population: 10,navigatela/reports/census_tracts_2010.cfm?PK=113235
96,113237,3661,588,2081,212,11,705,4,28,32,2994,425,1791,160,11,564,4,20,19,1496,1432,64,Tract: 1132.37\nTotal Population: 3661,navigatela/reports/census_tracts_2010.cfm?PK=113237
97,113301,2201,431,1263,103,5,379,3,5,12,1736,285,1062,71,3,300,3,5,7,982,717,265,Tract: 1133.01\nTotal Population: 2201,navigatela/reports/census_tracts_2010.cfm?PK=113301
98,113303,4006,1167,2019,149,21,613,6,2,29,3083,783,1692,93,16,468,5,2,24,1398,1362,36,Tract: 1133.03\nTotal Population: 4006,navigatela/reports/census_tracts_2010.cfm?PK=113303
99,113321,5473,1804,2091,322,34,1152,10,21,39,4312,1219,1848,244,27,917,7,16,34,2406,2252,154,Tract: 1133.21\nTotal Population: 5473,navigatela/reports/census_tracts_2010.cfm?PK=113321
100,113322,3947,760,2164,161,10,807,4,17,24,3191,545,1852,113,10,640,4,9,18,1370,1323,47,Tract: 1133.22\nTotal Population: 3947,navigatela/reports/census_tracts_2010.cfm?PK=113322
101,113401,5543,2232,2002,218,24,1016,13,10,28,4391,1592,1764,161,22,814,13,3,22,1777,1716,61,Tract: 1134.01\nTotal Population: 5543,navigatela/reports/census_tracts_2010.cfm?PK=113401
102,113421,6109,3176,1414,559,18,862,19,18,43,4430,2085,1195,409,12,674,10,13,32,2064,1952,112,Tract: 1134.21\nTotal Population: 6109,navigatela/reports/census_tracts_2010.cfm?PK=113421
103,113422,6057,2556,1912,379,21,1115,11,15,48,4674,1750,1659,300,21,886,9,13,36,2158,2043,115,Tract: 1134.22\nTotal Population: 6057,navigatela/reports/census_tracts_2010.cfm?PK=113422
104,115101,5046,899,3272,214,28,580,15,22,16,4044,623,2782,149,16,436,13,15,10,1724,1688,36,Tract: 1151.01\nTotal Population: 5046,navigatela/reports/census_tracts_2010.cfm?PK=115101
105,115103,2776,879,744,697,22,386,3,5,40,2752,872,734,694,22,382,3,5,40,31,30,1,Tract: 1151.03\nTotal Population: 2776,navigatela/reports/census_tracts_2010.cfm?PK=115103
106,115104,4444,1003,1916,384,13,1055,10,17,46,3757,800,1695,333,13,856,9,13,38,2117,1979,138,Tract: 1151.04\nTotal Population: 4444,navigatela/reports/census_tracts_2010.cfm?PK=115104
107,115201,6437,1590,2584,428,35,1690,22,27,61,5402,1226,2275,348,23,1445,14,23,48,2911,2736,175,Tract: 1152.01\nTotal Population: 6437,navigatela/reports/census_tracts_2010.cfm?PK=115201
108,115202,4828,1602,1767,326,27,1005,21,20,60,3972,1190,1554,259,24,869,18,14,44,1951,1832,119,Tract: 1152.02\nTotal Population: 4828,navigatela/reports/census_tracts_2010.cfm?PK=115202
109,115301,4156,729,2312,201,12,848,12,20,22,3427,540,2029,144,12,663,9,17,13,1766,1669,97,Tract: 1153.01\nTotal Population: 4156,navigatela/reports/census_tracts_2010.cfm?PK=115301
110,115302,4351,3455,470,72,6,327,0,10,11,2867,2127,395,50,6,274,0,4,11,1025,960,65,Tract: 1153.02\nTotal Population: 4351,navigatela/reports/census_tracts_2010.cfm?PK=115302
111,115401,5776,2667,1928,351,19,761,8,27,15,4328,1767,1615,269,18,624,8,15,12,2055,1959,96,Tract: 1154.01\nTotal Population: 5776,navigatela/reports/census_tracts_2010.cfm?PK=115401
112,115403,3188,1829,688,131,5,474,15,12,34,2382,1238,602,112,5,381,10,10,24,1045,978,67,Tract: 1154.03\nTotal Population: 3188,navigatela/reports/census_tracts_2010.cfm?PK=115403
113,115404,2913,1496,708,218,4,440,11,14,22,2248,1076,618,158,3,364,10,8,11,867,824,43,Tract: 1154.04\nTotal Population: 2913,navigatela/reports/census_tracts_2010.cfm?PK=115404
114,117101,4796,2186,494,264,6,1790,19,5,32,3535,1480,409,193,3,1405,16,4,25,1376,1321,55,Tract: 1171.01\nTotal Population: 4796,navigatela/reports/census_tracts_2010.cfm?PK=117101
115,117102,2631,1544,571,114,7,363,1,15,16,2043,1088,521,89,7,318,1,10,9,828,779,49,Tract: 1171.02\nTotal Population: 2631,navigatela/reports/census_tracts_2010.cfm?PK=117102
116,117201,4352,2875,580,232,5,567,20,43,30,3034,1874,500,156,5,455,11,14,19,1233,1170,63,Tract: 1172.01\nTotal Population: 4352,navigatela/reports/census_tracts_2010.cfm?PK=117201
117,117202,2471,911,766,121,12,638,3,3,17,1960,641,675,91,12,523,3,1,14,740,714,26,Tract: 1172.02\nTotal Population: 2471,navigatela/reports/census_tracts_2010.cfm?PK=117202
118,117301,3851,1252,1741,221,15,587,6,6,23,3023,883,1466,168,14,467,6,3,16,1236,1207,29,Tract: 1173.01\nTotal Population: 3851,navigatela/reports/census_tracts_2010.cfm?PK=117301
119,117302,4914,1335,2458,232,19,822,6,14,28,3879,903,2103,176,16,654,6,7,14,1744,1679,65,Tract: 1173.02\nTotal Population: 4914,navigatela/reports/census_tracts_2010.cfm?PK=117302
120,117303,3512,1376,1399,110,13,572,9,14,19,2741,945,1214,81,10,463,8,7,13,1038,1019,19,Tract: 1173.03\nTotal Population: 3512,navigatela/reports/census_tracts_2010.cfm?PK=117303
121,117404,4279,1670,1561,227,12,745,23,11,30,3446,1211,1396,167,12,615,17,9,19,1335,1288,47,Tract: 1174.04\nTotal Population: 4279,navigatela/reports/census_tracts_2010.cfm?PK=117404
122,117405,3442,3119,115,131,3,57,1,10,6,2092,1891,78,66,3,47,0,2,5,854,781,73,Tract: 1174.05\nTotal Population: 3442,navigatela/reports/census_tracts_2010.cfm?PK=117405
123,117407,3636,3377,60,87,0,86,7,13,6,2261,2094,41,60,0,56,3,5,2,896,841,55,Tract: 1174.07\nTotal Population: 3636,navigatela/reports/census_tracts_2010.cfm?PK=117407
124,117408,2830,2335,200,136,0,127,1,17,14,1931,1526,176,101,0,109,1,9,9,868,813,55,Tract: 1174.08\nTotal Population: 2830,navigatela/reports/census_tracts_2010.cfm?PK=117408
125,117510,4028,3359,178,146,1,317,3,14,10,2616,2072,152,102,1,273,3,4,9,1013,972,41,Tract: 1175.10\nTotal Population: 4028,navigatela/reports/census_tracts_2010.cfm?PK=117510
126,117520,4052,3484,154,170,6,198,12,13,15,2539,2140,112,113,2,142,11,10,9,999,910,89,Tract: 1175.20\nTotal Population: 4052,navigatela/reports/census_tracts_2010.cfm?PK=117520
127,117530,5641,4232,288,175,7,882,2,21,34,3808,2728,239,118,7,683,2,11,20,1565,1478,87,Tract: 1175.30\nTotal Population: 5641,navigatela/reports/census_tracts_2010.cfm?PK=117530
128,119001,4038,2846,392,37,11,707,1,19,25,3031,2027,356,23,10,586,1,11,17,997,947,50,Tract: 1190.01\nTotal Population: 4038,navigatela/reports/census_tracts_2010.cfm?PK=119001
129,119002,7210,6234,383,41,12,500,8,14,18,5216,4396,336,34,12,414,8,7,9,1679,1580,99,Tract: 1190.02\nTotal Population: 7210,navigatela/reports/census_tracts_2010.cfm?PK=119002
130,119201,4137,3574,266,47,12,223,8,1,6,2993,2523,227,36,8,187,8,0,4,915,882,33,Tract: 1192.01\nTotal Population: 4137,navigatela/reports/census_tracts_2010.cfm?PK=119201
131,119202,4707,4189,237,69,7,187,1,10,7,3350,2937,190,53,6,151,1,8,4,1086,1040,46,Tract: 1192.02\nTotal Population: 4707,navigatela/reports/census_tracts_2010.cfm?PK=119202
132,119310,3871,2668,425,167,5,574,5,10,17,2870,1870,385,123,5,466,5,5,11,1150,1090,60,Tract: 1193.10\nTotal Population: 3871,navigatela/reports/census_tracts_2010.cfm?PK=119310
133,119320,4694,3268,317,209,3,849,6,11,31,3285,2183,260,160,3,650,3,8,18,1183,1119,64,Tract: 1193.20\nTotal Population: 4694,navigatela/reports/census_tracts_2010.cfm?PK=119320
134,119340,3884,3654,86,78,3,50,0,9,4,2492,2310,67,62,3,39,0,8,3,982,923,59,Tract: 1193.40\nTotal Population: 3884,navigatela/reports/census_tracts_2010.cfm?PK=119340
135,119341,2719,1484,262,100,1,842,9,8,13,2036,1034,214,83,1,684,3,5,12,797,766,31,Tract: 1193.41\nTotal Population: 2719,navigatela/reports/census_tracts_2010.cfm?PK=119341
136,119342,3180,2551,151,116,10,321,0,18,13,2148,1663,125,79,6,262,0,4,9,742,714,28,Tract: 1193.42\nTotal Population: 3180,navigatela/reports/census_tracts_2010.cfm?PK=119342
137,119400,4987,4079,385,72,25,385,5,29,7,3629,2854,348,60,19,316,4,24,4,1133,1088,45,Tract: 1194.00\nTotal Population: 4987,navigatela/reports/census_tracts_2010.cfm?PK=119400
138,119700,5045,2392,1352,80,17,1159,13,13,19,3873,1682,1137,65,13,947,11,7,11,1328,1294,34,Tract: 1197.00\nTotal Population: 5045,navigatela/reports/census_tracts_2010.cfm?PK=119700
139,119800,6108,4776,545,67,9,684,3,8,16,4484,3363,470,61,5,568,3,3,11,1437,1393,44,Tract: 1198.00\nTotal Population: 6108,navigatela/reports/census_tracts_2010.cfm?PK=119800
140,119900,4940,3164,577,72,6,1078,1,17,25,3641,2167,503,56,3,889,1,4,18,1225,1190,35,Tract: 1199.00\nTotal Population: 4940,navigatela/reports/census_tracts_2010.cfm?PK=119900
141,120010,2844,2216,218,66,3,285,19,18,19,2014,1503,200,44,3,234,10,10,10,696,671,25,Tract: 1200.10\nTotal Population: 2844,navigatela/reports/census_tracts_2010.cfm?PK=120010
142,120020,4057,3100,203,92,12,617,0,11,22,2875,2080,172,66,10,521,0,5,21,1120,1040,80,Tract: 1200.20\nTotal Population: 4057,navigatela/reports/census_tracts_2010.cfm?PK=120020
143,120030,2675,2483,73,8,4,100,2,1,4,1661,1516,49,7,4,82,1,1,1,666,609,57,Tract: 1200.30\nTotal Population: 2675,navigatela/reports/census_tracts_2010.cfm?PK=120030
144,120103,3287,3021,74,100,1,83,0,6,2,2096,1897,53,76,1,65,0,2,2,865,794,71,Tract: 1201.03\nTotal Population: 3287,navigatela/reports/census_tracts_2010.cfm?PK=120103
145,120104,2310,1599,184,131,5,370,3,4,14,1671,1065,155,120,5,308,3,2,13,764,726,38,Tract: 1201.04\nTotal Population: 2310,navigatela/reports/census_tracts_2010.cfm?PK=120104
146,120105,2812,2043,280,55,3,405,1,12,13,2059,1397,251,42,3,348,1,4,13,864,830,34,Tract: 1201.05\nTotal Population: 2812,navigatela/reports/census_tracts_2010.cfm?PK=120105
147,120106,4417,3427,206,103,9,642,5,16,9,3008,2201,176,79,9,521,4,10,8,1197,1118,79,Tract: 1201.06\nTotal Population: 4417,navigatela/reports/census_tracts_2010.cfm?PK=120106
148,120107,3818,3276,203,79,5,213,0,10,32,2406,1978,159,66,2,175,0,4,22,1046,973,73,Tract: 1201.07\nTotal Population: 3818,navigatela/reports/census_tracts_2010.cfm?PK=120107
149,120108,4838,3976,301,187,16,316,7,21,14,3255,2565,263,124,15,264,3,9,12,1302,1218,84,Tract: 1201.08\nTotal Population: 4838,navigatela/reports/census_tracts_2010.cfm?PK=120108
150,120300,5531,3381,898,89,14,1118,7,12,12,4196,2414,765,70,7,919,6,5,10,1463,1404,59,Tract: 1203.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=120300
151,120400,6272,3556,1110,186,14,1328,23,23,32,4771,2538,950,160,8,1061,18,15,21,2022,1946,76,Tract: 1204.00\nTotal Population: 6272,navigatela/reports/census_tracts_2010.cfm?PK=120400
152,121010,4989,3125,1203,54,24,546,3,21,13,3781,2194,1023,50,19,465,3,15,12,1301,1256,45,Tract: 1210.10\nTotal Population: 4989,navigatela/reports/census_tracts_2010.cfm?PK=121010
153,121020,3741,2231,1002,62,11,395,17,18,5,2798,1541,842,54,7,328,11,12,3,1046,994,52,Tract: 1210.20\nTotal Population: 3741,navigatela/reports/census_tracts_2010.cfm?PK=121020
154,121101,2932,2040,504,61,8,301,4,5,9,2203,1433,434,51,7,261,4,4,9,956,899,57,Tract: 1211.01\nTotal Population: 2932,navigatela/reports/census_tracts_2010.cfm?PK=121101
155,121102,2721,1574,926,34,8,162,4,6,7,2057,1088,781,20,8,145,4,4,7,829,776,53,Tract: 1211.02\nTotal Population: 2721,navigatela/reports/census_tracts_2010.cfm?PK=121102
156,121210,3122,2208,343,37,12,508,2,7,5,2376,1577,304,36,11,441,2,1,4,799,759,40,Tract: 1212.10\nTotal Population: 3122,navigatela/reports/census_tracts_2010.cfm?PK=121210
157,121221,2365,1969,183,30,5,153,7,15,3,1721,1383,171,16,4,134,5,8,0,564,536,28,Tract: 1212.21\nTotal Population: 2365,navigatela/reports/census_tracts_2010.cfm?PK=121221
158,121222,5293,4500,342,168,10,243,5,5,20,3466,2844,265,119,9,212,4,4,9,1270,1198,72,Tract: 1212.22\nTotal Population: 5293,navigatela/reports/census_tracts_2010.cfm?PK=121222
159,121600,3005,1084,1107,60,5,707,8,15,19,2398,787,935,52,3,587,8,9,17,851,827,24,Tract: 1216.00\nTotal Population: 3005,navigatela/reports/census_tracts_2010.cfm?PK=121600
160,121801,3942,2990,521,153,23,226,9,9,11,2818,2058,406,128,18,183,7,8,10,1215,1101,114,Tract: 1218.01\nTotal Population: 3942,navigatela/reports/census_tracts_2010.cfm?PK=121801
161,121802,3525,2385,611,198,10,296,9,7,9,2603,1655,522,164,8,230,8,7,9,736,708,28,Tract: 1218.02\nTotal Population: 3525,navigatela/reports/census_tracts_2010.cfm?PK=121802
162,121900,4110,3239,535,43,25,247,4,11,6,3099,2348,463,38,21,213,4,7,5,1072,1002,70,Tract: 1219.00\nTotal Population: 4110,navigatela/reports/census_tracts_2010.cfm?PK=121900
163,122000,5446,1987,2258,74,21,1054,9,27,16,4339,1454,1888,60,19,875,9,19,15,1538,1463,75,Tract: 1220.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=122000
164,122120,5000,4305,365,35,17,253,2,14,9,3501,2924,309,27,14,211,2,7,7,1132,1095,37,Tract: 1221.20\nTotal Population: 5000,navigatela/reports/census_tracts_2010.cfm?PK=122120
165,122121,2833,2248,283,37,3,243,10,4,5,2053,1565,243,30,2,200,8,0,5,738,703,35,Tract: 1221.21\nTotal Population: 2833,navigatela/reports/census_tracts_2010.cfm?PK=122121
166,122122,2439,1959,307,113,9,44,2,0,5,1692,1329,243,71,8,36,2,0,3,660,619,41,Tract: 1221.22\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=122122
167,122200,4141,3577,370,29,8,142,1,11,3,2905,2442,304,25,8,120,1,3,2,973,921,52,Tract: 1222.00\nTotal Population: 4141,navigatela/reports/census_tracts_2010.cfm?PK=122200
168,122410,3794,3157,289,179,2,142,2,10,13,2643,2115,259,131,2,120,0,10,6,1137,1046,91,Tract: 1224.10\nTotal Population: 3794,navigatela/reports/census_tracts_2010.cfm?PK=122410
169,122420,5050,4037,469,169,10,347,1,9,8,3643,2752,413,147,10,305,1,9,6,1350,1304,46,Tract: 1224.20\nTotal Population: 5050,navigatela/reports/census_tracts_2010.cfm?PK=122420
170,123010,4580,4142,236,43,11,86,29,23,10,3066,2726,191,34,5,68,21,13,8,1038,986,52,Tract: 1230.10\nTotal Population: 4580,navigatela/reports/census_tracts_2010.cfm?PK=123010
171,123020,3432,3019,219,21,4,150,4,10,5,2467,2128,184,19,4,120,2,6,4,781,741,40,Tract: 1230.20\nTotal Population: 3432,navigatela/reports/census_tracts_2010.cfm?PK=123020
172,123103,4165,2586,1056,130,10,316,13,23,31,3122,1790,912,114,9,259,8,10,20,1523,1437,86,Tract: 1231.03\nTotal Population: 4165,navigatela/reports/census_tracts_2010.cfm?PK=123103
173,123104,4596,2924,1131,186,18,293,12,11,21,3512,2065,1001,145,14,247,11,10,19,1605,1516,89,Tract: 1231.04\nTotal Population: 4596,navigatela/reports/census_tracts_2010.cfm?PK=123104
174,123203,3765,3080,349,155,6,136,1,33,5,2528,1979,312,103,6,107,1,17,3,1098,1035,63,Tract: 1232.03\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=123203
175,123204,3449,2678,466,141,5,122,7,23,7,2383,1747,415,95,5,94,7,14,6,1056,993,63,Tract: 1232.04\nTotal Population: 3449,navigatela/reports/census_tracts_2010.cfm?PK=123204
176,123205,2645,2194,285,64,3,79,1,10,9,1841,1456,256,46,3,69,1,3,7,737,702,35,Tract: 1232.05\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=123205
177,123206,2945,2504,255,72,5,96,3,8,2,2113,1749,211,53,5,84,3,7,1,910,880,30,Tract: 1232.06\nTotal Population: 2945,navigatela/reports/census_tracts_2010.cfm?PK=123206
178,123301,4559,2077,1032,226,11,1166,5,22,20,3580,1454,896,177,10,1004,5,19,15,1565,1504,61,Tract: 1233.01\nTotal Population: 4559,navigatela/reports/census_tracts_2010.cfm?PK=123301
179,123303,3301,1988,876,106,2,294,5,11,19,2460,1388,732,74,2,236,5,11,12,951,919,32,Tract: 1233.03\nTotal Population: 3301,navigatela/reports/census_tracts_2010.cfm?PK=123303
180,123304,4687,2381,1839,161,11,253,20,15,7,3603,1670,1549,135,8,208,17,9,7,1721,1647,74,Tract: 1233.04\nTotal Population: 4687,navigatela/reports/census_tracts_2010.cfm?PK=123304
181,123410,4247,2428,1350,129,8,279,8,25,20,3164,1660,1136,97,7,233,8,12,11,1294,1225,69,Tract: 1234.10\nTotal Population: 4247,navigatela/reports/census_tracts_2010.cfm?PK=123410
182,123420,4638,2641,1521,94,10,340,2,23,7,3331,1730,1227,70,7,275,1,14,7,1419,1355,64,Tract: 1234.20\nTotal Population: 4638,navigatela/reports/census_tracts_2010.cfm?PK=123420
183,123510,4753,2371,1763,149,11,414,15,11,19,3578,1607,1472,118,9,337,12,8,15,1623,1523,100,Tract: 1235.10\nTotal Population: 4753,navigatela/reports/census_tracts_2010.cfm?PK=123510
184,123520,2567,1326,979,78,7,148,9,12,8,2000,978,816,59,7,119,9,7,5,857,820,37,Tract: 1235.20\nTotal Population: 2567,navigatela/reports/census_tracts_2010.cfm?PK=123520
185,123601,4995,1664,2760,218,16,307,5,11,14,4000,1232,2321,163,13,249,5,7,10,1895,1789,106,Tract: 1236.01\nTotal Population: 4995,navigatela/reports/census_tracts_2010.cfm?PK=123601
186,123602,3332,1266,1662,113,7,247,0,12,25,2628,875,1418,93,7,208,0,9,18,1332,1257,75,Tract: 1236.02\nTotal Population: 3332,navigatela/reports/census_tracts_2010.cfm?PK=123602
187,123700,4114,1212,2332,145,10,360,21,8,26,3269,883,1916,119,8,306,15,5,17,1547,1458,89,Tract: 1237.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=123700
188,123800,5531,1494,3339,264,29,335,30,26,14,4437,1125,2731,209,29,287,26,19,11,2396,2253,143,Tract: 1238.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=123800
189,123901,4500,2461,1498,201,26,275,4,22,13,3450,1736,1283,167,22,214,4,15,9,1532,1452,80,Tract: 1239.01\nTotal Population: 4500,navigatela/reports/census_tracts_2010.cfm?PK=123901
190,123902,2561,758,1314,138,16,308,4,11,12,2122,565,1165,103,12,256,4,9,8,1114,1068,46,Tract: 1239.02\nTotal Population: 2561,navigatela/reports/census_tracts_2010.cfm?PK=123902
191,124000,4550,552,3480,177,15,271,2,27,26,3689,420,2864,141,13,215,2,20,14,2160,2050,110,Tract: 1240.00\nTotal Population: 4550,navigatela/reports/census_tracts_2010.cfm?PK=124000
192,124102,3549,1889,1123,225,12,261,1,15,23,2770,1307,1017,192,12,221,1,9,11,1433,1336,97,Tract: 1241.02\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=124102
193,124103,2030,1523,371,39,5,73,5,10,4,1493,1049,330,35,5,58,4,8,4,607,575,32,Tract: 1241.03\nTotal Population: 2030,navigatela/reports/census_tracts_2010.cfm?PK=124103
194,124104,2439,1471,661,174,13,92,7,3,18,1877,1022,593,147,13,83,6,2,11,999,963,36,Tract: 1241.04\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=124104
195,124105,2658,1602,777,109,3,121,10,25,11,1966,1076,660,94,3,101,8,16,8,925,888,37,Tract: 1241.05\nTotal Population: 2658,navigatela/reports/census_tracts_2010.cfm?PK=124105
196,124201,3506,2029,1073,94,8,260,9,23,10,2728,1465,936,76,5,217,4,16,9,1140,1094,46,Tract: 1242.01\nTotal Population: 3506,navigatela/reports/census_tracts_2010.cfm?PK=124201
197,124203,2748,2080,445,72,13,110,5,15,8,2034,1465,395,56,10,90,5,10,3,876,823,53,Tract: 1242.03\nTotal Population: 2748,navigatela/reports/census_tracts_2010.cfm?PK=124203
198,124204,3071,1963,712,151,10,199,12,12,12,2341,1371,639,131,9,167,10,5,9,1076,1020,56,Tract: 1242.04\nTotal Population: 3071,navigatela/reports/census_tracts_2010.cfm?PK=124204
199,124300,4046,2816,891,110,8,204,4,6,7,3062,1962,810,92,7,177,3,6,5,1385,1306,79,Tract: 1243.00\nTotal Population: 4046,navigatela/reports/census_tracts_2010.cfm?PK=124300
200,124400,4192,820,2981,154,14,181,10,14,18,3206,606,2269,129,12,160,7,11,12,1723,1636,87,Tract: 1244.00\nTotal Population: 4192,navigatela/reports/census_tracts_2010.cfm?PK=124400
201,124500,2779,624,1772,112,19,212,4,19,17,2271,464,1499,95,17,176,4,8,8,1243,1169,74,Tract: 1245.00\nTotal Population: 2779,navigatela/reports/census_tracts_2010.cfm?PK=124500
202,124600,3123,484,2154,147,12,287,6,8,25,2515,356,1788,102,5,234,4,8,18,1398,1338,60,Tract: 1246.00\nTotal Population: 3123,navigatela/reports/census_tracts_2010.cfm?PK=124600
203,124700,4796,611,3516,262,14,346,9,11,27,3950,446,2976,213,13,266,8,9,19,2222,2098,124,Tract: 1247.00\nTotal Population: 4796,navigatela/reports/census_tracts_2010.cfm?PK=124700
204,124902,2766,679,1598,190,14,242,6,22,15,2312,475,1441,155,8,198,6,16,13,1608,1459,149,Tract: 1249.02\nTotal Population: 2766,navigatela/reports/census_tracts_2010.cfm?PK=124902
205,124903,3262,668,2096,228,22,188,6,24,30,2852,527,1879,203,21,175,6,21,20,1703,1553,150,Tract: 1249.03\nTotal Population: 3262,navigatela/reports/census_tracts_2010.cfm?PK=124903
206,125100,5431,1056,3496,403,22,365,7,28,54,4577,787,3038,342,20,322,7,24,37,2971,2701,270,Tract: 1251.00\nTotal Population: 5431,navigatela/reports/census_tracts_2010.cfm?PK=125100
207,125200,3524,1057,1922,203,34,267,6,19,16,2946,803,1689,174,25,221,5,16,13,1754,1624,130,Tract: 1252.00\nTotal Population: 3524,navigatela/reports/census_tracts_2010.cfm?PK=125200
208,125310,4750,2255,1723,406,20,279,3,31,33,3848,1610,1580,346,17,244,3,22,26,2168,1967,201,Tract: 1253.10\nTotal Population: 4750,navigatela/reports/census_tracts_2010.cfm?PK=125310
209,125320,4843,1761,1863,524,27,572,12,31,53,4076,1302,1755,439,24,480,11,22,43,2753,2337,416,Tract: 1253.20\nTotal Population: 4843,navigatela/reports/census_tracts_2010.cfm?PK=125320
210,125401,4024,1101,1878,601,27,331,8,25,53,3637,896,1811,541,26,295,7,21,40,2334,2162,172,Tract: 1254.01\nTotal Population: 4024,navigatela/reports/census_tracts_2010.cfm?PK=125401
211,125402,3544,710,2123,358,18,283,3,22,27,3151,553,1971,316,18,251,3,16,23,2011,1852,159,Tract: 1254.02\nTotal Population: 3544,navigatela/reports/census_tracts_2010.cfm?PK=125402
212,125501,3077,898,1653,241,17,240,6,11,11,2666,671,1531,214,15,210,5,9,11,1668,1565,103,Tract: 1255.01\nTotal Population: 3077,navigatela/reports/census_tracts_2010.cfm?PK=125501
