OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
995,920303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tract: 9203.03\nTotal Population: 0,navigatela/reports/census_tracts_2010.cfm?PK=920303
996,930200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tract: 9302.00\nTotal Population: 0,navigatela/reports/census_tracts_2010.cfm?PK=930200
997,930401,2471,270,1848,95,17,217,9,5,10,1916,197,1450,71,10,173,5,3,7,957,900,57,Tract: 9304.01\nTotal Population: 2471,navigatela/reports/census_tracts_2010.cfm?PK=930401
998,980008,145,114,28,3,0,0,0,0,0,95,72,20,3,0,0,0,0,0,46,40,6,Tract: 9800.08\nTotal Population: 145,navigatela/reports/census_tracts_2010.cfm?PK=980008
999,980009,14,5,8,0,1,0,0,0,0,12,5,6,0,1,0,0,0,0,7,7,0,Tract: 9800.09\nTotal Population: 14,navigatela/reports/census_tracts_2010.cfm?PK=980009
1000,980010,164,23,47,1,0,93,0,0,0,136,22,37,1,0,76,0,0,0,60,58,2,Tract: 9800.10\nTotal Population: 164,navigatela/reports/census_tracts_2010.cfm?PK=980010
1001,980014,239,32,183,12,1,11,0,0,0,233,29,180,12,1,11,0,0,0,181,171,10,Tract: 9800.14\nTotal Population: 239,navigatela/reports/census_tracts_2010.cfm?PK=980014
1002,980015,554,271,109,100,3,53,17,0,1,444,182,99,94,3,53,13,0,0,420,135,285,Tract: 9800.15\nTotal Population: 554,navigatela/reports/census_tracts_2010.cfm?PK=980015
1003,980019,173,27,123,3,0,17,2,1,0,146,20,106,3,0,15,2,0,0,86,83,3,Tract: 9800.19\nTotal Population: 173,navigatela/reports/census_tracts_2010.cfm?PK=980019
1004,980020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tract: 9800.20\nTotal Population: 0,navigatela/reports/census_tracts_2010.cfm?PK=980020
1005,980021,33,2,19,0,0,12,0,0,0,26,1,17,0,0,8,0,0,0,8,8,0,Tract: 9800.21\nTotal Population: 33,navigatela/reports/census_tracts_2010.cfm?PK=980021
1006,980022,4,1,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,1,1,0,Tract: 9800.22\nTotal Population: 4,navigatela/reports/census_tracts_2010.cfm?PK=980022
1007,980023,8,2,4,0,2,0,0,0,0,7,2,3,0,2,0,0,0,0,5,5,0,Tract: 9800.23\nTotal Population: 8,navigatela/reports/census_tracts_2010.cfm?PK=980023
1008,980024,186,23,135,4,0,23,0,0,1,147,17,109,2,0,18,0,0,1,73,70,3,Tract: 9800.24\nTotal Population: 186,navigatela/reports/census_tracts_2010.cfm?PK=980024
1009,980026,20,1,17,1,1,0,0,0,0,19,1,16,1,1,0,0,0,0,9,8,1,Tract: 9800.26\nTotal Population: 20,navigatela/reports/census_tracts_2010.cfm?PK=980026
1010,980028,4,2,0,2,0,0,0,0,0,4,2,0,2,0,0,0,0,0,1,1,0,Tract: 9800.28\nTotal Population: 4,navigatela/reports/census_tracts_2010.cfm?PK=980028
1011,980031,1262,390,512,223,34,60,24,1,18,1251,387,509,219,34,60,24,1,17,242,173,69,Tract: 9800.31\nTotal Population: 1262,navigatela/reports/census_tracts_2010.cfm?PK=980031
1012,990200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tract: 9902.00\nTotal Population: 0,navigatela/reports/census_tracts_2010.cfm?PK=990200
