,Geo_FIPS,Geo_TRACT,r_concentrated_disadvantage,r_commute_time,r_median_household_income,a_total_population,a_pop_below_18,a_pop_between_18_34,a_pop_between_34_65,a_pop_over_65,a_occupied_households,a_family_households,a_nonfamily_households,r_average_household_size,r_population_density,a_householder_less_than_high_school,a_householder_high_school_degree,a_householder_some_college,a_householder_bachelors_degree,a_older_than_3_in_school,a_older_than_3_not_in_school,a_not_high_school_grad,a_high_school_grad,a_employed,a_unemployed,a_not_in_labor_force,r_median_house_value,a_30_49_percet_income_to_rent,a_over_50_percent_income_to_rent,a_commuters_by_car_truck_van,a_commuters_by_car_truck_van_alone,a_commuters_by_car_truck_van_carpool,a_children_living_with_single_parents,a_private_sector,a_public_sector,a_self_employed,a_private_non-profit,a_unpaid_family_workers,a_households_social_security_income,a_households_SsI,a_households_retirement_income,a_housing_units,a_vacant_units,a_total_cars
2227,06037910502,910502,0.8203062756964582,49.0,34150.0,4439,1591,1103,1373,372,1156,849,307,3.84,5737.769,414,420,249,73,1541,2723,29,292,1446,131,1363,148900.0,213,342,1307,1033,274,603,1154,1154,1154,1154,1154,399,105,142,1266,110,3024
2228,06037910504,910504,0.6631904931413132,44.0,42801.0,4750,1537,1169,1681,363,1283,1083,200,3.7,7740.102,512,315,365,91,1616,2961,0,543,1572,180,1743,187100.0,110,202,1394,1135,259,578,1159,1159,1159,1159,1159,323,110,179,1309,26,3728
2229,06037910505,910505,0.01067900332411098,47.0,62941.0,3267,994,803,1209,261,854,755,99,3.83,5260.831999999999,191,222,320,121,1214,1897,0,260,1397,54,991,223100.0,20,69,1333,1149,184,268,1018,1018,1018,1018,1018,196,24,98,889,35,2694
2230,06037910601,910601,1.170922312652301,47.0,38731.0,6843,2183,1813,2173,674,1578,1200,378,4.32,6675.7919999999995,548,471,497,62,2192,4234,1,620,2022,458,2516,174900.0,77,325,1849,1644,205,677,1531,1531,1531,1531,1531,681,135,219,1784,206,4688
2231,06037910602,910602,1.5171169908817879,40.0,38170.0,4322,1177,1373,1349,423,1373,1021,352,3.15,5600.951999999999,202,422,558,191,1404,2699,0,172,1623,276,1274,143400.0,303,191,1446,1148,298,483,1156,1156,1156,1156,1156,303,171,162,1475,102,3562
2232,06037910603,910603,0.30118609835376364,46.0,43767.0,6713,1866,1343,2699,805,2045,1609,436,3.28,6609.556,592,464,788,201,2215,4237,0,452,2676,185,2155,211100.0,198,301,2289,2064,225,311,2168,2168,2168,2168,2168,537,182,376,2139,94,5894
2233,06037910605,910605,0.6940208726825476,51.0,49231.0,4710,1737,1322,1321,330,1230,1083,147,3.82,9081.021,295,374,536,25,1764,2831,27,174,1820,128,1157,191300.0,93,139,1724,1321,403,996,1346,1346,1346,1346,1346,304,15,107,1317,87,3710
2234,06037910606,910606,0.3177388274213983,44.0,49403.0,3476,1200,719,1298,259,815,667,148,4.27,6593.269,234,179,316,86,1281,1995,2,179,1203,112,1041,213600.0,51,121,1055,856,199,400,841,841,841,841,841,238,56,92,831,16,2372
2235,06037910705,910705,-0.7409003539764923,47.0,72667.0,11788,3725,2858,4310,895,2780,2366,414,4.23,5327.285,614,824,937,405,4707,6758,0,1045,4544,246,3845,259700.0,108,197,4213,3145,1068,428,3313,3313,3313,3313,3313,642,176,378,3070,290,8425
2236,06037910706,910706,-0.45749880666839304,42.0,58060.0,6212,2251,1094,2588,279,1492,1329,163,4.15,771.1785,576,256,522,138,2416,3495,9,548,2143,212,1978,253500.0,125,71,1951,1632,319,407,1476,1476,1476,1476,1476,344,119,133,1633,141,4654
