,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,162924.35004197623,16368.938694195926,3432.662216404664,3800.557311630729,6770.864298594339,2364.854867566192,5944.607350087071,3499.388810433118,50473.786957188204,1255.123927705704,1197.7327325321958,2081.8395562489036,1409.9111336002677,3530.3199356575337,11958.683089306203,23.22601827619324,551.0773815996138,7704.204625380455,566.4515553299387,1698999.7469916958,639.1937106262757,1152.622489151203,6036.462318032645,5357.563542681409,678.8987753512367,1026.9176581109489,4879.36033321761,1184.4314652287676,1104.998774146359,522.7704851251877,12.643567662530725,1689.5492990464127,605.599598261488,1048.8880828468605,6362.851130021676,418.24377993460456,0.40714459637809325,35.749634185183254,717.7949184569217,2.7801239043669455,1467.9821195891855,57.6726082858268,5,3:18,0.0,12.183
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,178523.70208982303,13071.570724201652,1446.5140762259507,5828.655346720194,4688.2283122990175,1108.1729889564904,7567.04629696538,1917.3903632506074,40311.774346675134,740.3488931001892,751.1074129730822,1693.5658705309584,4382.0241203611495,2960.170353234178,9782.219604069573,22.518431292094466,577.2267105061387,7882.702986229536,438.3448520552394,1904173.0056691999,1563.5894260940236,1885.9505569445143,4194.693033237448,3770.324520370052,424.36851286739505,449.632375473915,5464.022977678481,491.1327865081463,1388.0354997618765,534.896515117986,4.615207163047765,833.2895028739221,367.6963641138395,115.97072303445317,8830.256740543036,1263.2104435776575,0.49439424594449655,29.965696702102257,1642.6946867963193,1.7968461736270425,1047.6063980244787,217.9758190891366,159,542:59,67.38,2846.116
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,83631.19613497345,8889.69037350656,629.4525966212898,2802.7750034764827,4656.52212739237,800.940646016419,4757.730910663582,767.7928908284287,31907.27727881082,843.2944580155777,716.9704853750861,1246.5272740790779,1950.9386931938404,1323.4319543784277,7440.3224008113575,24.262079192991287,223.48884340299458,4127.299857749213,476.7204153098784,1199007.142234457,1143.3350203105579,1172.0844760277498,1829.029389744388,1653.121898884811,175.90749085957717,191.24488146643552,2692.12245670213,304.62628469791485,764.2816428450294,354.26513173081196,12.004341773326237,739.7838236968332,713.1454922167942,93.98250341168449,5550.892740583524,793.1618299199419,1.1415959441831773,32.48984413918099,1312.3112699779194,1.6558120432073697,961.9302140711418,134.81580299293702,57,115:08,214.96,497.165
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,90037,6037232700,194758.6706119628,25001.57039515708,7101.6407534935925,7062.287323436179,8820.011429341557,2017.630888885755,6662.136390336906,4839.117257179863,108874.45080102154,2768.51360465273,1782.4524125649996,1649.7962721896909,461.3741009294848,7209.5259299755635,16619.993090814085,100.4644061587601,1305.4302605433816,10532.598469768081,835.3883557643101,1923573.377005416,1007.029304039996,1830.742746351065,8441.965077370749,7269.344988624907,1172.6200887458413,2588.449480830594,8251.058378578105,731.8684494347652,1136.6484780844044,398.5446939104791,14.478469760327233,1436.0255202890094,711.5427877694148,649.0537703252139,6927.683691230181,265.5473008932755,0.970627110790297,36.09573691032467,359.43707647284134,3.7575075391605695,1433.9019133362801,23.867612725800516,26,32:57,50.29,139.39600000000002
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,91303,6037134303,204562.04953450256,10376.025265541553,1935.4959085255803,2375.7002045013073,4571.061878176805,1493.7672743378596,3311.1106593149025,2396.587060972791,20025.159936202985,433.0472965057494,563.3005195728597,1029.573793560262,1285.1890496760311,2543.5116654715816,7490.7379304786355,36.666644313253386,515.2800875096883,5448.9509822686405,318.41846236200723,1112547.1327831657,289.1208331424166,286.70207511519345,4396.130709398823,3939.828359279939,456.302350118883,365.358617167867,3893.25458567842,440.6665726519195,688.2462700180668,405.3905765673434,21.392977352890483,913.2884058619794,230.40119374425961,460.29713189220837,3408.718724104123,97.60806478922046,-0.4200714640277236,30.354022653442573,424.42692792613104,3.0726985529664166,1377.3160414363222,112.7038016498972,122,210:57,260.14,1142.335
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,91401-2649,6037127220,179571.90090437033,20736.275517462964,4837.853619880152,5875.48754039486,7816.28962941297,2206.644727774983,6815.861695195374,4260.7139160927945,76077.94311003806,1541.7776741988177,1586.1544591934628,2107.568021264606,1580.3615405384878,5499.493737965859,14310.75398321338,42.21486319581935,919.0110991191923,10382.225222118137,1147.5280635781924,1897621.9245495382,1718.5940559745336,1744.815062137663,8362.709882357996,6626.401066987126,1736.3088153708711,1386.4990626696115,7860.662621404992,726.123194549627,1279.8296556939604,513.8825702321975,1.727180237359345,1444.8946280990517,527.4985601254912,484.1490658269678,7047.07866922449,231.21697402911622,0.6039026729158857,32.50542713146075,605.0724189897718,3.0305704458070446,1116.7630698927737,257.74551910521683,17,59:03,29.2,158.86
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,90015,6037207900,194280.42238494405,15556.297221284272,1148.014748170214,6528.854550620841,6469.6484971797945,1409.7794253134216,9475.230249548184,1981.4182373480558,65257.02678438477,901.3788539608516,963.3706922383724,2261.36137053367,5349.1193328152885,2815.6661195487627,12429.27629781696,20.806814985237196,508.40723240711316,9231.529218584477,627.7368455712791,2107270.255276624,1992.485848619583,2236.409781911345,4669.3458877682315,4274.799525564285,394.5463622039462,261.2553688668653,6258.637644728951,614.1062224435952,1753.9880460305753,594.9142799447451,9.883025436611607,1259.5355635631054,667.6178104187144,150.57823814251543,11122.267388192753,1647.037138644571,0.5727266918543912,30.520298872767306,1871.8223092285862,1.586015955001272,1181.5207917832336,292.1796543026395,60,165:30,84.68,550.297
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,90015,6037207900,189735.16873553293,13920.925213514718,1643.2793235858408,6150.939257354663,4928.798082980284,1197.908549593932,7835.134326099638,2084.6706936420514,44269.810095390574,825.7081390518638,810.8788514066715,1693.5946523388293,4504.952683302275,3221.7384868700924,10337.027132265828,24.216764603779016,617.5319170265191,8291.62331555479,450.141509878778,2021285.7616585516,1618.2869097422104,1968.4347544528894,4442.406780583402,3963.7697270961717,478.63705348723124,532.1772138662756,5799.150739307827,499.4125076616491,1420.4679095773422,569.9071222074771,2.6850368004948972,864.4957643575968,386.400290461621,128.87062236603953,9113.302522038392,1278.1681959387506,0.43509806874157075,29.853841440244427,1665.5574896418345,1.8312267332632115,1096.5230769365387,227.53155961864786,139,774:06,81.94,3446.6090000000004
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,90029-3737,6037190520,385282.0529868032,30905.172818844905,3243.392631982203,10119.243709065617,13146.640480829896,4395.895996967188,13728.930536245529,5421.978203152702,275514.9929961678,1884.486764301792,2307.483475848374,3486.80004357344,6050.160252521923,4806.466701800506,25465.890690488333,31.542278334690252,654.4267249768853,17976.18098659809,1370.4230697057442,6421574.018665309,3430.806032364552,3830.1361542014256,10711.930067735024,9662.154289700895,1049.7757780341278,853.2631327013216,11385.21977428681,1167.8389849674593,3058.4725556728063,2338.3547258095405,26.294945861475057,2272.288569133854,1558.6736728810624,528.0880404483089,14903.297107492052,1174.3665712465215,0.2966311870694131,29.032089191254745,901.048702221866,2.2170842190788367,1015.8916279528406,128.3197338697227,34,45:01,20.1,157.361
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,91352,6037121010,165361.60122541117,10278.970748614107,2418.502751858572,2912.0014227606403,3806.9080767865535,1141.5584972083414,2419.5054016282475,1954.8510336559116,26923.279931311696,821.8430641797923,547.7288506214578,509.5097360776273,540.4237507493701,2716.5264670555894,7084.499149801643,5.964073118794681,550.808757362909,4582.22996615089,271.7118644869586,1197952.465867889,171.75873919466338,386.31380687074085,4003.3813336443254,3263.212844058402,740.1684895859231,490.55896500349,3231.5056233133723,495.2254983983194,523.3570246005863,332.14181983861255,0.0,647.1456301380928,238.72158617278373,304.50852703783625,2551.223899000766,131.71849737251793,-0.14341010415012742,32.66990748422891,208.0426834685778,4.080929781738076,1369.3701012936756,28.210841650529986,25,77:54,11.05,317.64599999999996
