,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
36,AUI-10223,34.1902425,-118.53350149999999,91335,6037132700,-0.7044693106375564,32.0,0.5041758241758242,68553.0,9,175:42,4.34,63.56399999999999
37,AUI-10203,34.166923,-118.4923732,91436,6037980024,-1.5011055546267231,29.0,1.5315315315315314,124038.0,29,48:48,91.64,235.361
38,AUI-10202,34.037672,-118.37471399999998,90034,6037270300,-0.2463759603111226,26.0,0.4799123447772096,73375.0,12,17:23,27.07,56.278999999999996
39,AUI-10253,34.0638047,-118.30550590000001,90006,6037211802,-0.589325738104732,29.0,0.07488653555219364,40625.0,116,564:03,213.56,729.65
40,AUI-10215,34.063369,-118.241175,90012,6037207103,1.1038277491155806,26.0,0.14941892639734367,27292.0,107,283:28,154.69,1086.8339999999998
41,AUI-10219,34.18744,-118.42241200000001,91401,6037123520,0.228808348148288,32.0,0.4917444364680546,53098.0,138,611:40,748.21,1810.076
42,AUI-10242,34.054634,-118.34399599999999,90019,6037216200,-0.27290515916284985,29.0,0.4138225255972696,95707.0,71,306:51,95.27,1401.9679999999998
43,AUI-10272,34.2088705,-118.5096412,91406,6037131100,-0.6718182125058576,37.0,1.1561144839549002,68553.0,61,144:28,221.9,765.377
44,AUI-10260,34.249545,-118.5883922,91311,6037113303,-0.4087095810901445,29.0,0.9339320076972418,83971.0,35,60:03,83.36,383.12199999999996
45,AUI-10258,33.93414600000001,-118.2737655,90061,6037241110,0.577653087530587,33.0,0.930662557781202,43182.0,20,48:52,21.92,162.30100000000002
46,AUI-10222,34.016127000000004,-118.30875690000002,90062,6037231300,0.9672183390850408,36.0,0.5108502312344362,46767.0,13,16:56,33.95,97.76799999999999
47,AUI-10209,34.02189370000001,-118.4394675,90064,6037271500,-0.6801385183148879,27.0,0.3283365570599613,94330.0,39,95:12,170.65,355.88
48,AUI-10210,34.044140999999996,-118.45542900000001,90025,6037267501,-0.418483388645888,23.0,0.15417428397318708,79531.0,77,187:31,79.35,938.178
49,AUI-10213,34.0647503,-118.4310256,90024-2613,6037265700,-0.13545418108149193,24.0,0.16342308717675286,80685.0,81,210:05,219.77,917.1489999999999
50,AUI-10211,33.9618772,-118.42080790000001,90293,6037276500,-0.3139732620950295,16.0,0.7008032128514057,88500.0,67,156:46,154.54,731.4939999999999
51,AUI-10221,34.032711,-118.45502309999999,90064,6037267600,-0.2269326466996304,25.0,0.5138416707139388,76250.0,13,19:23,29.39,101.93799999999999
52,AUI-10217,34.0978525,-118.3348393,90028,6037190700,0.7202629706033878,29.0,0.007514088916718849,37300.0,135,262:50,464.54,1249.104
53,AUI-10208,34.04001179999999,-118.46559340000002,90025,6037267402,-0.18617374086861446,26.0,0.27626774847870184,74748.0,242,563:31,575.01,3281.288
54,AUI-10271,33.984934,-118.40025770000001,90230,6037275603,-0.6579395693054257,30.0,0.6680208937899014,79313.0,21,33:52,16.4,112.958
55,AUI-10252,34.054247100000005,-118.46513970000001,90049,6037264103,0.5639856442316036,26.0,0.020579268292682928,100160.0,60,135:11,151.49,799.72
56,AUI-10250,33.9591244,-118.314752,90047,6037238400,0.9004643733281146,30.0,0.5211102423768569,51420.0,6,5:42,8.59,39.544000000000004
57,AUI-10246,34.06782860000001,-118.23056329999999,90012,6037206010,1.265594417263398,32.0,0.555210643015521,38734.0,46,121:07,32.97,372.329
58,AUI-10220,34.0347482,-118.2737356,90015,6037224020,0.8416320273321998,34.0,0.042238648363252376,26493.0,23,26:17,39.43,92.755
59,AUI-10243,34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,3,0:00,0.0,0.139
60,AUI-10204,34.0262014,-118.2760072,90007,6037224700,2.052654847241659,18.0,0.28955696202531644,10802.0,150,257:53,235.9,1185.914
61,AUI-10200,34.047486,-118.23789679999999,90012,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,207,595:58,587.23,3000.4309999999996
62,AUI-10227,34.186682,-118.54996499999999,91335,6037133100,-0.537881267169334,34.0,0.4957772912105098,51417.0,49,245:58,89.72,483.44300000000004
