,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,0.15051089437619386,31.204545454545453,0.3693221237470867,58713.77272727273,4378.386363636364,961.5909090909091,1362.3636363636363,1649.5,404.9318181818182,307.8333333333333
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,0.2038175346598951,33.12765957446808,0.47900676074355847,57541.12765957447,3769.9148936170213,816.7021276595744,968.9148936170212,1512.9574468085107,471.3404255319149,242.3939393939394
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,0.0903546520961589,33.06976744186046,0.5865669299086966,53191.58139534884,4173.976744186047,894.6511627906976,1150.4883720930231,1628.7674418604652,500.06976744186045,233.5909090909091
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,90037,6037232700,0.39775438227213505,32.72222222222222,0.38765524731486767,47220.416666666664,4255.861111111111,954.4444444444445,1229.8055555555557,1648.111111111111,423.5,137.1818181818182
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,91303,6037134303,-0.7421883321990905,33.18421052631579,0.9177717180997862,94728.97368421052,4427.3421052631575,912.9473684210526,889.8947368421053,1866.8947368421052,757.6052631578947,668.8085106382979
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,91401-2649,6037127220,-0.4441482904198487,31.272727272727273,0.9485674305729925,94287.0,4566.742424242424,979.6363636363636,1051.439393939394,1868.3939393939395,667.2727272727273,486.3181818181818
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,90015,6037207900,0.12431390910533112,32.72727272727273,0.5657529251234636,58521.40909090909,4137.272727272727,910.8181818181819,1074.0681818181818,1631.0227272727273,521.3636363636364,242.83333333333334
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,90015,6037207900,0.2685220299161981,32.568627450980394,0.4691373381871053,56900.62745098039,3744.294117647059,823.3529411764706,963.9019607843137,1498.3725490196077,458.6666666666667,258.8333333333333
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,90029-3737,6037190520,-0.017488037940799703,31.568181818181817,0.4623439822917979,71698.52272727272,3711.531914893617,676.7446808510638,1100.9148936170213,1515.5531914893618,418.3191489361702,546.2424242424242
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,91352,6037121010,-0.26288736905014215,32.02,0.8104403093438902,65901.54,4040.181818181818,844.9636363636364,1046.4727272727273,1597.1272727272728,551.6181818181818,380.25757575757575
10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.161293,-118.503322,91316-3402,6037139600,-0.590048703458054,31.692307692307693,0.733682621007853,129790.04615384615,3496.439393939394,728.7272727272727,793.8030303030303,1424.6969696969697,549.2121212121212,797.3181818181819
11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,91436,6037139701,-0.6771324223357551,31.21875,0.8013075967447432,127552.265625,3879.348484848485,785.7121212121212,855.6969696969697,1582.8181818181818,655.1212121212121,805.030303030303
12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,91316,6037139502,-0.6541127986682853,31.220338983050848,0.6759628076178155,126762.06779661016,3926.6774193548385,802.3225806451613,880.8548387096774,1643.5483870967741,599.9516129032259,701.7272727272727
13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,-0.6237865369323093,33.25423728813559,0.8071132820017113,94625.33898305085,3997.6721311475408,808.983606557377,886.9016393442623,1676.2459016393443,625.5409836065573,630.1147540983607
14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.29749869999999,90710-2805,6037294421,-0.14860674030615162,28.77777777777778,0.271673140974708,60918.53333333333,3058.9411764705883,634.2352941176471,769.5294117647059,1312.1764705882354,343.0,562.4
