,Station,Address,lat,lon,zipcode,Geo_FIPS,total_cars_4_km,total_population_4_km,pop_below_18_4_km,pop_between_18_34_4_km,pop_between_34_65_4_km,pop_over_65_4_km,occupied_households_4_km,family_households_4_km,nonfamily_households_4_km,householder_less_than_high_school_4_km,householder_high_school_degree_4_km,householder_some_college_4_km,householder_bachelors_degree_4_km,older_than_3_in_school_4_km,older_than_3_not_in_school_4_km,not_high_school_grad_4_km,high_school_grad_4_km,employed_4_km,unemployed_4_km,not_in_labor_force_4_km,30_49_percent_income_to_rent_4_km,over_50_percent_income_to_rent_4_km,commuters_by_car_truck_van_4_km,commuters_by_car_truck_van_alone_4_km,commuters_by_car_truck_van_carpool_4_km,children_living_with_single_parents_4_km,private_sector_4_km,public_sector_4_km,self_employed_4_km,private_non-profit_4_km,unpaid_family_workers_4_km,households_social_security_income_4_km,households_SsI_4_km,households_retirement_income_4_km,housing_units_4_km,vacant_units_4_km,agr_industry_4_km,construct_industry_4_km,manufact_industry_4_km,wholesale_industry_4_km,retail_industry_4_km,transport_industry_4_km,info_industry_4_km,finance_industry_4_km,prof_mgmt_industry_4_km,education_industry_4_km,arts_industry_4_km,public_admin_industry_4_km,other_service_industry_4_km,mgmt_occ_4_km,professional_occ_4_km,health_occ_4_km,protecc_occ_4_km,food_occ_4_km,cleaning_occ_4_km,pers_care_occ_4_km,sales_occ_4_km,office_occ_4_km,farming_occ_4_km,construct_occ_4_km,product_occ_4_km,transport_occ_4_km,concentrated_disadvantage_4_km,commute_time_4_km,median_household_income_4_km,average_household_size_4_km,population_density_4_km,median_house_value_4_km,ev_car_count_4_km,total_sessions,total_connection_time,total_amount,total_kwh
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,142167.65079470316,291473.04856486444,65519.747357711094,80445.6001959775,111481.72857286285,34025.972438312994,95746.91740835334,58386.86096940927,37360.05643894407,26192.04045918869,20785.594039734096,29326.28645343534,19442.996455995202,77783.29421122937,202097.71353402198,594.7830586470448,14001.676127476549,132339.86378926155,12757.004103621155,88211.55754908349,16080.791675425717,23940.03034816467,100753.01572405644,88749.76224530535,12003.253478751085,23851.410109398108,91813.81035617163,14848.598919632814,17867.812455782787,7684.682439483757,124.95961819055185,23792.270495006196,9495.980749613673,12111.19922322012,102128.95598840198,6382.038580048633,669.4427466561491,9462.201339952437,9157.116893407096,2231.697327486004,14758.861144451632,9321.898886040595,3556.2057966820335,5490.400966606657,16770.354451671406,28094.608437726874,16803.059438979202,11538.066464327596,4485.949895273853,11477.12471915901,20584.281009121903,6896.119796689874,4007.9702792530884,10050.313694125996,12756.850059532986,4786.220626904449,12425.266555720576,15129.069035296237,595.7083870294351,11922.031005788567,8163.916187621373,13544.992433018037,0.677505432234779,33.535023362391364,44959.59992727201,2.8573968507511744,15037.762920425994,482812.8421041445,1091.9834264090136,5,3:18,0.0,12.183
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,134629.59103563346,366443.3504333256,78897.0223548886,121408.89156678985,130306.10015000687,35831.33636164038,125087.961549071,66596.86782911667,58491.09371995431,43289.71145943868,21460.454613029193,24734.506142621707,35603.28933398144,97117.37657030388,256407.23614086473,1440.0479390791286,16289.877580611543,176710.8467848372,15665.065523624999,103686.48587902123,31637.897297433865,33805.585730400606,101184.62635704811,84863.66729211494,16320.959064933159,31444.01098179713,129437.76622587674,10375.115195274922,28013.981032149743,8664.015627148037,219.96870438774488,22434.028032265607,11844.444188057636,5113.740018484453,135253.56014533172,10165.598596260697,913.2746215573688,13446.921691275027,24853.797559535,6258.7241201992265,19882.116109579438,7962.388314565697,5261.269104077769,7642.464699142243,22291.856354738484,25501.342782687545,26444.697963504193,13243.889169385637,3008.1042945895724,17760.341637745838,27908.337134810983,6481.403858450118,3157.9101736805246,16092.039595218244,13961.983396174623,4779.127448300041,19184.088107095915,15188.376745933065,884.0246417045869,15472.568414170362,20627.982062632953,15212.66356891994,0.5232878941381804,30.55012257353823,41646.3537541807,2.7057660773523495,18963.31271044283,484702.26310004207,2807.2267855623595,159,542:59,67.38,2846.116
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,109276.07206315617,307690.04829878744,69499.07780092394,102228.68436132961,106686.84689838171,29275.439238152132,100821.82106568833,54542.75201717119,46279.06904851713,37870.79481287551,16574.607934521642,19263.854378474807,27112.563939816362,83538.97122965439,213225.79651484988,1237.9637005553695,14375.76482448065,142916.26272680424,11877.521406161433,91044.14705068758,25231.50732621625,27057.639422590382,81308.95502288999,68266.01397436624,13042.941048523748,27488.15728409258,105243.08120114029,8775.196446767717,21757.035692669426,6937.477867150483,203.47151907632315,18859.12310287682,10128.066669038137,4107.766870608488,109001.57018294255,8179.749117254228,815.6635426316334,11303.120952623567,22998.68197852971,5842.660140260525,16420.82869537309,6468.56983656572,4169.5132095290355,5581.227450961679,17345.291341670552,20349.00571898767,19738.857919439906,9410.591601302725,2472.250338928431,13656.901464414232,22547.47685373594,4902.247965078901,2498.3651335912714,11559.45204721262,9777.307751331333,3698.557978656753,15240.290850651838,12476.647661813759,795.1443238940491,12901.315672635474,19526.97826425947,13335.576759528602,0.49137640522515025,29.865061056910477,42700.388218042346,2.787118571828032,15943.731703260248,457675.23671238445,2527.0256138117875,57,115:08,214.96,497.165
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,90037,6037232700,146941.06092548952,343298.07538520714,95895.67197283666,94342.29207457088,123259.74533525141,29800.366002548246,95007.01190952216,67456.38939676179,27550.62251276036,37356.28494684644,23363.5052156984,24538.013320097412,9749.208426879895,99975.84670308497,227306.84802749817,1050.5389602994717,19301.119309892147,145128.84458053514,13244.71167677337,99551.5287024186,16483.658795218438,25135.769605380192,110825.85522343685,95733.13894622137,15092.716277215479,37223.23615926791,109326.35332958335,12948.892160733823,16338.331431122895,6385.047187068321,130.2204720267256,20917.6622235023,10387.96119073041,9969.407437631737,100239.10350168734,5232.091592165173,989.4475320668006,12036.50669612246,18168.182628877454,4852.488528482512,16577.484829028934,11905.118825393503,1969.9841667845094,4258.179010611767,17263.30815605673,24346.178359798185,17071.790976778546,11812.759978735325,3877.4148917984057,8051.450726391992,14731.377146881294,6559.875663425722,4634.4810418888255,10448.631506106256,13722.291656702753,5043.281572785329,13667.489703543872,15561.508857976518,970.1371441058941,16015.176049889014,16492.470360075215,19230.673150762443,0.8698891796478084,34.12550477919963,37746.82953464987,3.4512848693790854,17715.88895837286,367335.6085522659,593.6167567162389,26,32:57,50.29,139.39600000000002
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,91303,6037134303,94994.21483999194,156028.3292686132,32788.698948265424,39735.3362806465,63112.355550809625,20391.938488891665,52605.607240559846,35996.436117464764,16609.171123095086,6547.387295077167,9100.251387691684,15834.301442239706,21123.667115551292,38511.30346806679,111524.26630257518,281.87761713920514,7305.462991014808,81923.95436438553,5324.273773833287,39962.101629430086,7393.05092967304,7767.781340825351,66403.9829238537,57812.216858660235,8591.766065193477,8675.11383023686,59342.9866573346,6120.381563048643,11843.328305156188,4492.601248349878,124.6565904962078,13053.999178677295,2934.0344431466547,6235.165728888793,55027.971997914254,2422.3647573544076,276.2003609920534,5763.3868448932935,6753.815758038723,1731.4825715215657,8878.967922109383,2542.451074722516,3532.230612951101,7428.2009437431725,13257.059160854562,16174.303751568863,9407.762362135,5060.254406826017,1117.838594029273,12770.42953012436,19716.83890775589,2689.103939047083,712.9637205668698,5483.150722927618,4290.893237672724,2904.53055133432,9049.425816964726,9855.443547271614,215.2361309657906,6447.005451510955,3214.3355561619164,4574.597252081652,-0.4297802587960097,32.01265081121785,93415.3634494256,2.9576716069644116,8087.148734617644,580998.7159034008,1530.5450463708924,122,210:57,260.14,1142.335
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,91401-2649,6037127220,131411.60489753698,257085.75992700865,63782.05399846629,70576.25278591407,98712.16266847894,24015.29047414934,80374.36667887314,55587.09766213066,24787.26901674248,20784.66479122189,17440.93708041218,22356.39296817842,19792.371839060645,68637.59444017892,177132.18768280683,687.4233827693972,13654.683065257168,127819.02783622814,11819.337920495935,60728.56268680473,16605.408837788265,20351.707799066306,101764.0097526939,87335.88657852537,14428.123174168537,19132.765317095807,92347.66987995539,9655.25561223174,19468.074720567005,6214.332091080127,133.6955323938875,14940.780601091345,6008.83553071556,6066.329181864383,83423.92197240438,3049.5552935312344,691.3704191591848,13091.6547010063,10035.71175987215,3099.028830529781,14008.129278000706,5859.110467516557,5009.063306159427,6299.555186529766,17019.245634018585,23220.78475633853,16036.108548894606,10941.30397038272,2507.9609778198387,11595.442822794997,20125.367981534855,6402.205293476615,1822.6932651659217,8948.9631138816,12338.921489224202,4548.225980760688,12517.399095896195,13766.677932304523,586.7186623890009,15580.996329867748,9025.661517262677,10559.754351669131,0.1659879215506799,28.786946724718803,48963.17880219336,2.871425905448344,13368.609704014278,433341.3398448982,2114.6879122295013,17,59:03,29.2,158.86
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,90015,6037207900,123642.00621596319,338665.3546577996,72425.66492993722,112336.68080455775,120220.24273877405,33682.76618453052,116311.024559279,61186.45001389869,55124.574545380296,40400.381777797375,19365.530799112952,22796.754704948005,33748.35727742067,88911.07846732225,238092.5634317649,1359.1817562529927,14954.326973137937,163027.5584459047,13894.262208171016,97229.52185960977,29343.793642962453,31212.65998085415,92493.50089187638,77454.58034847729,15038.920543399101,28688.015351146656,118724.6177420181,9917.282616480514,25913.43793038977,8247.882234403114,224.33792261317382,21159.255925124646,11166.082737094168,4591.590841149507,125758.48985600835,9447.465296729351,892.3128043160395,12396.670747509455,23579.359581185054,5962.87798450931,18410.29805886896,7085.5983552995285,5119.286881031636,7031.006875878011,20257.120358730168,23677.45867596293,23992.541304479164,11815.443560525986,2807.5832576084267,16666.683070354415,26756.447502483574,5858.344665531877,2739.064101586409,14378.94036880355,12145.32655141221,4341.379932044636,17796.603073069688,13998.044481287938,864.8050335302889,14157.78923993916,19474.545126228375,13849.58529963256,0.4912444622600155,30.16506064859499,42263.37022157101,2.6790733570752328,17547.244625748594,483075.16247532866,2850.0019007287824,60,165:30,84.68,550.297
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,90015,6037207900,139330.0013050197,376658.1520929989,80598.19753281024,124772.3617384366,134333.88507841877,36953.70774333338,129214.4214385243,68818.43465645298,60395.98678207131,43971.378013280286,22265.187189770902,25844.126165932255,37133.73006954087,99539.89224343716,263829.74164450174,1456.7823132897856,16669.117939599513,182561.6249905431,16246.324548323037,105895.25867045579,32743.18235462316,34925.80417965887,104895.43751238195,88109.14026418542,16786.29724819653,32089.8763459737,133699.29353185347,10731.60184403669,28946.808936852,8966.315784418808,217.60489338211502,22992.492531855554,12107.014774666177,5268.1042033701315,139756.83455732896,10542.413118804667,938.5670467398786,13792.942857789818,25017.38329250484,6373.741216147934,20491.81650964808,8152.3813575885615,5466.117049756207,7989.911259033388,23109.16463845436,26467.598852444502,27714.439730566053,13881.017234776022,3166.54394509342,18504.98798159318,28910.748959611,6775.661669741665,3276.266687221202,16866.75806026371,14567.751779512571,4969.487763453474,20019.373008929724,15759.440000581526,901.8937480734473,15851.742865174394,20700.11311392274,15457.399352464437,0.5283566835715356,30.653271176746188,41550.22728437856,2.703519854176861,19488.09780536868,489853.479659181,2859.6814802878353,139,774:06,81.94,3446.6090000000004
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,90029-3737,6037190520,148902.39988118343,270921.74522530875,38860.145831369104,90723.41896757532,110323.34918078817,31014.831245576206,118508.4225523038,50345.69892879146,68162.72362351234,16358.461442872993,17313.179556616185,27564.509496508414,57272.2720563062,52484.288020121385,210987.17333717304,417.58390827615244,8124.772933073259,159886.31698349022,12222.096914382184,64015.46968343072,26349.234767994018,28527.080824237742,107688.2506369963,99212.76468345498,8475.485953541312,11891.365540268844,108122.88116101002,9533.721294987146,31476.181916609406,10517.96092537859,235.57168550504167,18456.95762378796,7447.098290274268,6291.842067508469,133634.61730160314,15126.194749299357,511.839309371766,7809.907461831148,7091.356830348374,3545.7803507346794,14241.168753338827,5254.373244418233,17606.39129004989,8981.495593346339,21570.988491253145,25727.825262618047,30519.155694633337,14321.583112875334,2704.4515886710888,24037.517836702136,45685.64620579992,5746.336632336125,1657.665898653472,15346.430269606295,8007.668096196804,6364.933495774051,15014.978002359745,15935.763541021632,316.40199542098196,9034.340632502237,4554.5191038534285,8184.1152732633855,0.07760102297154318,25.79719664492425,62274.058971912156,1.8427855049922846,14042.641430758396,805809.1152709333,2435.0538014253316,34,45:01,20.1,157.361
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,91352,6037121010,86962.40377469355,157572.4297259557,35675.6293951711,43729.982977054606,60683.27189206799,17483.545461662026,42512.31971068007,32374.082145139975,10138.237565540097,13554.447382491213,9337.64952854945,11530.300648896315,8089.922150743095,43321.28012887534,109332.95909592733,310.8262456967401,8743.114970969222,74884.84260852999,5442.802833081242,46025.44797469686,5566.979941317912,8484.477918700082,63576.702963951604,55384.7013099292,8192.001654022402,8455.964673589016,53305.993620337395,7313.1233127658,10098.72043606505,4077.6314846779037,89.37375468384474,10466.434186645947,4217.567110767106,4180.976098382333,44539.18173317492,2026.8620224948456,490.2642489044665,6849.912701407359,8278.674839866926,1722.905543129718,8981.769468255916,4311.456125139492,2180.4862975548904,3568.981297670165,8173.513045836206,14756.645164917622,8312.134519621966,5449.742097470746,1808.3572587545193,6098.012084670343,11289.43144064985,3957.77427772536,1026.9806154969515,5029.605501912623,6069.760151380338,2481.121618338353,6809.29004400261,9333.874327446501,288.8766506651581,9163.453431095484,6549.83314864321,6786.82931650321,-0.09666704175829989,29.79906221501845,58052.21861917811,3.656322012749545,8224.634559795835,445112.84689566516,670.0647647988837,25,77:54,11.05,317.64599999999996
